iter	Passed	Remaining
343	1761	11042
344	1767	11038
345	1771	11025
346	1776	11025
347	1780	11013
348	1788	11025
349	1794	11023
350	1799	11019
351	1806	11024
352	1813	11030
353	1818	11025
354	1823	11019
355	1828	11012
356	1832	10999
357	1837	10992
358	1840	10978
359	1844	10966
360	1849	10957
361	1852	10942
362	1857	10935
363	1861	10925
364	1866	10918
365	1870	10907
366	1876	10903
367	1879	10890
368	1885	10889
369	1890	10880
370	1894	10870
371	1898	10858
372	1902	10847
373	1906	10838
374	1911	10831
375	1915	10821
376	1919	10808
377	1922	10795
378	1927	10784
379	1932	10779
380	1936	10771
381	1940	10761
382	1944	10748
383	1948	10737
384	1952	10726
385	1956	10714
386	1959	10700
387	1963	10690
388	1967	10677
389	1971	10664
390	1975	10657
391	1979	10645
392	1982	10630
393	1986	10618
394	1990	10607
395	1993	10593
396	1997	10580
397	2000	10567
398	2004	10553
399	2007	10539
400	2010	10525
401	2015	10516
402	2018	10502
403	2021	10489
404	2025	10476
405	2028	10464
406	2032	10451
407	2035	10437
408	2041	10434
409	2044	10423
410	2048	10409
411	2052	10400
412	2056	10389
413	2059	10376
414	2062	10364
415	2066	10352
416	2071	10347
417	2075	10339
418	2079	10329
419	2082	10315
420	2086	10303
